latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
40.201,-106.063,316.1,1.9,1.4,2020-10-20,0935,A,92,6.0NRT,276.4,48.4,N
40.224,-106.083,304.2,1.9,1.4,2020-10-20,0935,A,59,6.0NRT,275.4,26.7,N
40.219,-106.06,309.4,1.9,1.4,2020-10-20,0935,A,77,6.0NRT,276.7,35.3,N
40.234,-106.193,326.2,1.9,1.3,2020-10-20,0935,A,100,6.0NRT,278.8,71.2,N
40.23,-106.174,311.1,1.9,1.3,2020-10-20,0935,A,82,6.0NRT,277.8,36.5,N
40.212,-106.088,322.5,1.9,1.4,2020-10-20,0935,A,100,6.0NRT,277,61.6,N
40.208,-106.066,330.7,1.9,1.4,2020-10-20,0935,A,100,6.0NRT,279,86.3,N
40.154,-106.112,301.4,1.9,1.4,2020-10-20,0935,A,16,6.0NRT,274.7,19.5,N
40.147,-106.138,316.2,1.9,1.3,2020-10-20,0935,A,77,6.0NRT,279,45.1,N
40.142,-106.116,416.3,1.9,1.4,2020-10-20,0935,A,100,6.0NRT,295.2,952.4,N
40.137,-106.092,379.3,1.9,1.4,2020-10-20,0935,A,100,6.0NRT,286.3,399.1,N
40.135,-106.14,341.7,1.9,1.3,2020-10-20,0935,A,100,6.0NRT,277.3,126.6,N
40.13,-106.117,391.9,1.9,1.4,2020-10-20,0935,A,100,6.0NRT,285.4,546.5,N
40.125,-106.095,304.8,1.9,1.4,2020-10-20,0935,A,41,6.0NRT,277.4,24.7,N
40.143,-106.145,319.1,1.9,1.3,2020-10-20,0935,A,59,6.0NRT,277.3,50.7,N
40.139,-106.124,391.6,1.9,1.4,2020-10-20,0935,A,100,6.0NRT,290.3,540.4,N
40.134,-106.1,383.5,1.9,1.4,2020-10-20,0935,A,100,6.0NRT,290.8,445.3,N
40.127,-106.126,342.1,1.9,1.4,2020-10-20,0935,A,100,6.0NRT,278.6,131.4,N
37.529,-119.133,305.5,1.4,1.2,2020-10-20,0935,A,35,6.0NRT,282.8,14.4,N
37.527,-119.116,302.7,1.4,1.2,2020-10-20,0935,A,31,6.0NRT,281.5,12.5,N
