aes,wmo,REP_DATE,temp,td,rh,ws,wg,wdir,pres,vis,precip,rndays,sog,ffmc,dmc,dc,bui,isi,fwi,dsr,opts,calcstatus,Station,Distance,name,lon,lat,elev,ACQ_DATE,ATTK_DATE,CAUSE,CFS_ECOZ,CFS_NOTE1,CFS_NOTE2,CFS_REF_ID,DECADE,ECODISTRIC,ECOREGION,ECOZONE,FIRENAME,FIRE_ID,FIRE_TYPE,LATITUDE,LONGITUDE,MORE_INFO,OUT_DATE,PROTZONE,SIZE_HA,SRC_AGENCY,SRC_AGY2,fire_label,Month,Year
3073140,71066,5/27/19,22,6,35.5,14.8,14.8,140,1011.6,14.5,0,12,0,92.2,67.5,210.3,74.9,12.3,31.5,12.2,                          M=1:          ,1,CYOJ,69.17360948,HIGH+LEVEL+A,-117.167,58.617,338,6/1/20,,,4, , ,AB-2019-HWF066,2010-2019,244,64,4, ,HWF066,Wildfire,59.606867,-117.434033, ,, ,74331.6,AB,AB,1,5,2019
2101204,71199,5/27/19,23.9,-4.7,14,11.4,21.7,255,1011.2,64.4,0,3,0,95.2,77.6,106,77.1,15.8,37.5,16.6,                          M=1:          ,1,CXQH,38.41074724,WATSON+LAKE+AUT,-128.833,60.117,683,5/5/20,,L,12, , ,BC-2019-2019-R90376,2010-2019,925,181,12, ,2019-R90376,Fire,59.5711,-128.6357, ,, ,1935,BC,BC,1,5,2019
2202402,71361,5/27/19,11.7,1.7,50,15.6,20.6,68,1012.2,23.7,0,12,0,89.1,38.4,308.5,58.5,8.3,21.1,6,                          M=1:          ,1,CZHY,57.8553442,HAY+RIVER+CLIMATE,-115.783,60.833,164,5/4/20,,L,4, , ,NT-2019-SS006-19,2010-2019,242,64,4, ,SS006-19, ,60.069666,-116.4715, ,6/1/19 0:00, ,4.25,NT,NT,1,5,2019
22010H0,71021,5/27/19,26.7,5.8,26,5.8,9.5,219,1006.2,27.7,0,7,0,93,53.2,299.3,73.6,8.8,24.9,8,                          M=1:          ,1,CXDK,88.80820632,DEADMEN+VALLEY,-124.467,61.25,283,5/12/20,,L,12, , ,YT-2019-2019WL001,2010-2019,930,182,12, ,2019WL001, ,60.31503333,-126.26335,Toobally Lakes,,Transition FMZ,14132,YT,YT,1,5,2019
3072659,71056,5/28/19,22.5,4.7,31,9.5,16.2,75,1008.7,19.9,0,12,0,92.5,41.2,64,40.9,9.8,19.8,5.4,                          M=1:          ,1,CPCH,22.80800988,FORT+CHIPEWYAN+RCS,-111.117,58.767,238,4/22/20,,L,9, , ,PC-WB-2019-2019WB4, ,577,136,9,Fire 4,2019WB4, ,58.9847,-111.5947, ,,Full Response,0.3,PC-WB,PC,1,5,2019
116FRMN,71218,5/28/19,22.6,7.1,37,3,5.2,338,1013.3,30,0,3,0,89.9,67.4,240.1,79.2,4.9,17,4.1,                          M=1:          ,1,CWSL,17.64656482,SALMON+ARM+CS,-119.283,50.7,351,5/5/20,,L,14, , ,BC-2019-2019-K40381,2010-2019,1004,209,14, ,2019-K40381,Fire,50.5571,-119.6156, ,, ,0.004,BC,BC,1,5,2019
1096439,71896,5/28/19,25,6,29.6,9.3,9.3,271,1015.1,14.5,0,1,0,93,44.9,188.5,56.3,10.4,24.3,7.7,                    IDW=R:M=1:          ,1,CYXS,21.49768506,PRINCE+GEORGE,-122.683,53.883,691,5/5/20,,L,14, , ,BC-2019-2019-G10392,2010-2019,982,203,14, ,2019-G10392,Fire,54.1634,-122.9108, ,, ,2.5,BC,BC,1,5,2019
2101204,71199,5/28/19,22.8,1.5,25,22.1,36.2,255,1012.3,64.4,0,4,0,94.4,82.6,112.5,82,24.1,50.7,28.4,                          M=1:          ,1,CXQH,31.73911844,WATSON+LAKE+AUT,-128.833,60.117,683,5/5/20,,L,12, , ,BC-2019-2019-R90393,2010-2019,925,181,12, ,2019-R90393,Fire,59.8393,-128.1051, ,, ,5,BC,BC,1,5,2019
1148705,71401,5/30/19,27,7.6,29,3.4,7.9,172,1012.8,23.1,0,4,0,93.5,34.4,185.9,47,8.3,18.8,4.9,                          M=1:          ,1,CXWF,31.18820744,WARFIELD+RCS,-117.733,49.117,567,5/5/20,,L,14, , ,BC-2019-2019-N60422,2010-2019,1008,209,14, ,2019-N60422,Fire,49.0558,-118.4138, ,, ,0.009,BC,BC,1,5,2019
2100LRP,71966,5/30/19,18.3,1.1,32,14.3,23.6,180,1014.8,32.2,0.2,0,0,89.3,78,226.2,83.8,8,24.7,8,                          M=1:          ,1,CWON,94.85448799,DAWSON,-139.133,64.067,370,5/12/20,,L,, , ,YT-2019-2019BC001,2010-2019,882,172,0, ,2019BC001, ,62.97505,-140.9845833,Swamp Creek,,Wilderness FMZ,8986,YT,YT,1,5,2019
