lat,lng,reportDate,startDate,endDate,peakDate,duration,maxSize,aveSize,increaseSpreadRate,decreaseSpreadRate,movementDirection,movementDirectionNum,temp,td,rh,ws,wg,wdir,pres,vis,precip,rndays,ffmc,dmc,dc,bui,isi,fwi,dsr
56.453617,-113.235233,Sat Jun 01 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.108486632718375,9.058259598223078,-0.13278754006086432,SE,3,11.1,5.1,67.0,11.5,18.3,113,1013.01,15.0,0.5,0,86.0,84.6,174.2,84.4,4.3,15.9,3.6
54.8388,-115.173617,Sat Jun 01 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.23503379798742,7.245025646830541,-0.13278754006086432,NW,0,24.1,9.5,40.9,14.4,20.18641026,169,1008.15,9.7,0.0,7,89.7,59.8,112.9,59.6,8.5,21.6,6.3
50.4052,-118.8523,Sat Jun 01 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,Sat Jun 01 00:00:00 EDT 2019,Fri May 31 00:00:00 EDT 2019,1,2.521834520070935,2.521834520070935,NaN,NaN,NW,0,29.2,3.1,19.0,5.0,10.3,289,1009.4,20.1,0.0,6,94.9,75.5,329.8,96.0,10.9,32.8,13.1
58.175297,-116.020127,Sat Jun 01 00:00:00 EDT 2019,Mon May 27 00:00:00 EDT 2019,Mon Jun 03 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,7,62.38107044181278,34.699208101940144,7.83586612176205,NaN,SE,3,18.2,8.1,52.0,33.1,20.18641026,91,1006.35,16.5,0.0,1,86.9,103.3,357.2,119.9,14.7,43.7,21.8
54.440667,-115.02758,Sat Jun 01 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,46.09620904557759,4.40723303854672,-0.13278754006086432,NE,1,24.1,9.5,40.9,14.4,20.18641026,169,1008.15,9.7,0.0,7,89.7,59.8,112.9,59.6,8.5,21.6,6.3
56.793067,-114.712533,Sun Jun 02 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.23503379798742,7.245025646830541,-0.13278754006086432,NW,0,18.4,0.2,29.0,13.2,23.8,254,1006.6,23.5,15.7,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1
56.51595,-114.243717,Sun Jun 02 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.23503379798742,7.245025646830541,-0.13278754006086432,NW,0,18.4,0.2,29.0,13.2,23.8,254,1006.6,23.5,15.7,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1
56.565313,-114.256105,Sun Jun 02 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.23503379798742,7.245025646830541,-0.13278754006086432,NW,0,18.4,0.2,29.0,13.2,23.8,254,1006.6,23.5,15.7,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1
56.346767,-113.73225,Sun Jun 02 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.23503379798742,7.245025646830541,-0.13278754006086432,NW,0,18.4,0.2,29.0,13.2,23.8,254,1006.6,23.5,15.7,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1
56.838545,-113.508547,Sun Jun 02 00:00:00 EDT 2019,Sat May 18 00:00:00 EDT 2019,Sun Jun 02 00:00:00 EDT 2019,Thu May 30 00:00:00 EDT 2019,15,159.07321307353675,49.23503379798742,7.245025646830541,-0.13278754006086432,NW,0,18.4,0.2,29.0,13.2,23.8,254,1006.6,23.5,15.7,0,66.7,27.9,98.5,32.7,1.1,2.1,0.1
